Date,Open,High,Low,Close,Volume
2026-01-12,14.46,14.52,14.3,14.3,200
2026-01-13,14.41,14.41,14.41,14.41,0
2026-01-14,14.49,14.49,14.49,14.49,0
2026-01-15,14.69,14.69,14.69,14.69,0
2026-01-16,14.66,14.66,14.66,14.66,0
2026-01-19,14.55,14.55,14.55,14.55,0
2026-01-20,14.73,14.73,14.73,14.73,0
2026-01-21,14.45,14.45,14.45,14.45,0
2026-01-22,14.52,14.52,14.52,14.52,0
2026-01-23,14.82,14.82,14.82,14.82,0
2026-01-26,14.56,14.72,14.56,14.72,19
2026-01-27,14.62,14.62,14.62,14.62,0
2026-01-28,14.89,14.89,14.89,14.89,0
2026-01-29,14.74,14.74,14.74,14.74,0
2026-01-30,14.63,14.63,14.63,14.63,0
2026-02-02,14.68,14.68,14.68,14.68,0
2026-02-03,14.95,14.98,14.95,14.98,690
2026-02-04,15.03,15.03,15.03,15.03,0
2026-02-05,14.89,14.95,14.89,14.95,12
2026-02-06,14.86,14.86,14.86,14.86
