Date,Open,High,Low,Close,Volume
2022-01-18,15.15,15.15,14.625,14.625,10696
2022-01-19,14.725,14.825,14.725,14.825,2875
2022-01-20,15.1,15.1,15.1,15.1,57226
2022-01-21,14.575,14.575,14.35,14.35,26233
2022-01-24,14.45,14.45,12.875,12.875,35473
2022-01-25,13.45,13.45,12.35,12.35,28403
2022-01-26,13.2,13.4,13.2,13.4,12282
2022-01-27,13,13.1,13,13.1,79800
2022-01-28,13.25,13.25,13.05,13.05,22466
2022-01-31,13.775,13.775,13.45,13.45,19689
2022-02-01,13.725,14.3,13.725,14.3,37785
2022-02-02,14.775,14.775,14.4,14.4,24041
2022-02-03,14.525,14.525,13.625,13.625,13616
2022-02-04,14.25,14.25,13.35,13.35,22245
2022-02-07,13.825,13.825,13.3,13.3,23501
2022-02-08,13.45,13.45,12.825,12.825,32567
2022-02-09,13.4,13.45,13.4,13.45,27622
2022-02-10,14.625,15.825,14.625,15.825,7210
2022-02-11,15.4,15.4,15.4,15.4,88090
2022-02-14,15.675,15.675,15.45,15.45,110804
2022-02-15,15.625,16.05,15.625,16.05,1768
2022-02-16,16.1,16.1,16.1,16.1,5430
2022-02-17,15.925,15.925,15.25,15.25,4974
2022-02-18,15.3,15.3,15.05,15.05,3250
2022-02-21,14.725,14.725,14.25,14.25,2723
2022-02-22,13.775,14.2,13.775,14.2,13157
2022-02-23,14.3,15.15,14.3,15.15,19320
2022-02-24,14.25,15,14.25,15,98448
2022-02-25,15.3,15.925,15.3,15.925,32360
2022-02-28,15.15,16.15,15.15,16.15,5536
2022-03-01,16.25,16.25,16.2,16.2,6798
2022-03-02,16.35,16.35,15.45,15.45,13961
2022-03-03,15.725,15.725,14.725,14.725,7017
2022-03-04,14.4,14.4,14.1,14.1,6435
2022-03-07,13.825,13.825,13.575,13.575,8205
2022-03-08,13.45,13.45,13.15,13.15,2154
2022-03-09,13.45,14,13.45,14,58196
2022-03-10,14.05,14.05,13.575,13.575,27524
2022-03-11,14,15,14,15,51824
2022-03-14,14.2,16.05,14.2,16.05,13092
2022-03-15,15.725,15.725,15.45,15.45,6566
